,high_ast
3228,Maz
3229,Slc39a6
3230,Mro
3231,Crebzf
3232,Dpy19l3
3233,Adgrl1
3234,Rdh10
3235,Qdpr
3236,Ppp1r14b
3237,Cdk5rap2
3238,Scaper
3239,Aqr
3240,Ppil4
3241,Tmem64
3242,Afdn
3243,Ift20
3244,Rras
3245,Rasa1
3246,Kcnk1
3247,Afap1l2
3248,Tnfaip8
3249,Ano10
3250,Isoc1
3251,Nudt11
3252,Ip6k1
3253,Cnppd1
3254,Nfat5
3255,Smap1
3256,Ppp2r2d
3257,Inpp5a
3258,Maml2
3259,Ankrd10
3260,Haus2
3261,Eif1a
3262,Rnf149
3263,Mbd1
3264,Tardbp
3265,Eny2
3266,Gtf3c6
3267,Atosa
3268,Usp15
3269,Rabggtb
3270,1600012H06Rik
3271,Nxn
3272,Ssu72
3273,Coro2b
3274,Ddx47
3275,Lztfl1
3276,Tex264
3277,Rars
3278,Atpif1
3279,Abhd17c
3280,Srek1ip1
3281,Psmd3
3282,Xpo5
3283,Gabra4
3284,Ppp2r1b
3285,Ccser2
3286,Lamtor5
3287,Fkbp14
3288,Tcta
3289,Srp19
3290,Rnf144a
3291,Mrpl15
3292,Tbc1d12
3293,Prpf18
3294,Brms1l
3295,Ndufa11
3296,Psme3ip1
3297,Thrap3
3298,Epb41l4a
3299,Nipa2
3300,Itch
3301,Polr2e
3302,Dbn1
3303,Sox1
3304,Plpbp
3305,Commd7
3306,Cnpy3
3307,Nup88
3308,Rnpc3
3309,Cpt2
3310,Amotl1
3311,Arhgef17
3312,Tmem222
3313,Scrg1
3314,Bscl2
3315,Ebna1bp2
3316,Tgs1
3317,Cenpb
3318,Tmem128
3319,Abhd6
3320,Atp2b1
3321,Lsm12
3322,Sptlc1
3323,Flvcr1
3324,Srxn1
3325,Mrpl36
3326,Arl5a
3327,Cnot4
3328,Pdcl3
3329,Mrpl3
3330,Ssr4
3331,Rbm6
3332,Pnpla2
3333,Esf1
3334,Pik3ca
3335,Trio
3336,Aprt
3337,Tmem255a
3338,Gm11992
3339,Mmgt1
3340,Ddx52
3341,Lmna
3342,Cog6
3343,Akap8l
3344,Hgsnat
3345,Nktr
3346,Speg
3347,Coro1b
3348,Lrrc40
3349,Tent2
3350,Bmp2k
3351,Csnk1g3
3352,Fbxo21
3353,Pdk1
3354,Lrp6
3355,Tmem132b
3356,Mrpl41
3357,Kpna2
3358,Mtmr2
3359,Rab5b
3360,4931406C07Rik
3361,Crbn
3362,Exoc1
3363,Trappc3
3364,Mnat1
3365,Ubxn7
3366,Clasp2
3367,Dapk1
3368,Mipep
3369,Ncald
3370,Mtx2
3371,Nphp1
3372,Ints13
3373,Elp5
3374,Cluh
3375,Atf6b
3376,5730455P16Rik
3377,Hmbox1
3378,Nmt2
3379,Pepd
3380,Pdgfrl
3381,Plgrkt
3382,Mier1
3383,Map3k7
3384,Ncaph2
3385,Lpin1
3386,Zfp687
3387,Zdhhc4
3388,Cers5
3389,Trappc4
3390,Zfp867
3391,Gsdme
3392,Zfp740
3393,Zkscan3
3394,Tmf1
3395,Hspb6
3396,Ecd
3397,Gsr
3398,Parn
3399,Tcp11l1
3400,Nsun2
3401,Smoc1
3402,Myh9
3403,Pop4
3404,Gpx3
3405,Csnk1g2
3406,Ublcp1
3407,Itih5
3408,Marchf2
3409,Cacfd1
3410,Zranb1
3411,Ptbp2
3412,Dcaf11
3413,Isca1
3414,Ints4
3415,Rit1
3416,Acer3
3417,1810030O07Rik
3418,Ccdc3
3419,Golga5
3420,Cd302
3421,Dnali1
3422,Camk2g
3423,Ago2
3424,Bckdk
3425,Smim30
3426,Yap1
3427,Me2
3428,Rps6kb1
3429,3830406C13Rik
3430,Uqcc2
3431,Ap3b1
3432,Tmem129
3433,Acad11
3434,Supt5
3435,Galnt16
3436,Taok3
3437,Ints8
3438,Abhd3
3439,Cul4b
3440,Por
3441,Slc22a23
3442,Arl4c
3443,Tmem168
3444,Ccnd3
3445,Yes1
3446,Emc4
3447,Vps37a
3448,Cfap44
3449,Aldh2
3450,Ralgapa1
3451,Cirbp
3452,Nr1d2
3453,Bag3
3454,Mif4gd
3455,Polr2d
3456,Upf1
3457,Cycs
3458,Actn1
3459,Yeats2
3460,Cipc
3461,Thnsl1
3462,Yipf1
3463,Rap2a
3464,Ubac2
3465,Timm21
3466,Tnfrsf21
3467,Arpc1b
3468,Eif2b5
3469,Pigt
3470,Taf10
3471,Tcaim
3472,Fam114a1
3473,Entrep1
3474,Cbx1
3475,Cebpz
3476,Dnajb6
3477,Zfp266
3478,Pik3r2
3479,Clcc1
3480,Tbcel
3481,Cndp2
3482,Ntan1
3483,Smarcd3
3484,Jagn1
3485,Rfxap
3486,Slc25a10
3487,Mrpl51
3488,Mrps25
3489,Sec24c
3490,Hras
3491,Nr1h2
3492,Dmtf1
3493,Gkap1
3494,Ndrg4
3495,Cers4
3496,Traf1
3497,Rps6ka1
3498,Gtf2e1
3499,Stk16
3500,Ap2a1
3501,Gnl2
3502,Ufsp2
3503,Bcr
3504,Tril
3505,Inpp5f
3506,Fbxo38
3507,Zc3h7a
3508,Slc25a16
3509,Trp53bp1
3510,Irf9
3511,Chchd1
3512,Snrpd3
3513,Exoc2
3514,Kdm5c
3515,Wipi1
3516,Atxn1
3517,Tagln3
3518,Lin52
3519,Rabgap1
3520,Padi2
3521,Eif2ak1
3522,Tcerg1
3523,Zfp62
3524,Stag2
3525,Lfng
3526,Lrfn4
3527,Pi4k2a
3528,Arhgef19
3529,Svbp
3530,Zdhhc3
3531,Srprb
3532,Chd7
3533,Pisd
3534,Sema6a
3535,Tmem63b
3536,Med1
3537,Fbxo25
3538,Kdm5a
3539,Dap
3540,Bbs2
3541,Kdm2a
3542,Suox
3543,Aff1
3544,Timm44
3545,Zfp68
3546,Lman2l
3547,Cfap300
3548,Prkar2a
3549,Orc2
3550,Mapt
3551,Ube2z
3552,Ppp2r3a
3553,Pierce2
3554,Lgals8
3555,Prmt5
3556,Vapb
3557,Tbrg1
3558,Atp6v0c
3559,Zfp609
3560,Ninj1
3561,Sall1
3562,Cbx3
3563,Dctn6
3564,Kcnj16
3565,Flii
3566,Lysmd2
3567,Pwp1
3568,Rnf167
3569,Romo1
3570,Casd1
3571,Cdc40
3572,Ccng2
3573,Uhmk1
3574,Samd4b
3575,Slc14a1
3576,Nhp2
3577,Elp4
3578,Sncaip
3579,Pde4dip
3580,Trip12
3581,Calcoco1
3582,Gpr107
3583,Polr2g
3584,Ythdc1
3585,Fam76a
3586,D5Ertd579e
3587,Yeats4
3588,Rabep1
3589,Sf3b3
3590,Nxf1
3591,Gtf2f1
3592,Ppp1r1a
3593,Pitpnm2
3594,Arhgap35
3595,Arih1
3596,Rwdd1
3597,Mrpl18
3598,Tlr3
3599,Dnajc9
3600,Tm9sf1
3601,Sf3b4
3602,Ehd2
3603,Ccm2
3604,Gcc2
3605,Dnajb14
3606,Mgat2
3607,Sod1
3608,Mgat4b
3609,Arhgap18
3610,Gnl3l
3611,Slco1a5
3612,Tnfrsf19
3613,Sec23ip
3614,Rps28
3615,Rbm22
3616,Snrnp200
3617,Wbp11
3618,Inppl1
3619,Senp2
3620,Ptcd3
3621,Strip1
3622,Adgra3
3623,Otud1
3624,Mrps23
3625,Rpp14
3626,Lrrc4b
3627,Gpr19
3628,Folh1
3629,Stk17b
3630,Plekha3
3631,Smarcd1
3632,Phf20
3633,Snx18
3634,Dusp14
3635,Gatad1
3636,Prr13
3637,Btg1
3638,Gbf1
3639,Scamp5
3640,Cstb
3641,Tmem256
3642,Eif6
3643,Rnmt
3644,Mfsd14a
3645,Reep1
3646,Unc119
3647,Cant1
3648,Chpf
3649,Pou3f2
3650,Plekhg2
3651,Rab32
3652,Cop1
3653,Csgalnact1
3654,Mrps15
3655,Ddr2
3656,Lrpprc
3657,Fkbp10
3658,Cxcl14
3659,Npr2
3660,Iqsec1
3661,Adgre1
3662,Tsc22d3
3663,Mgat1
3664,Ndufb3
3665,Samm50
3666,Arhgef40
3667,Pphln1
3668,Pgam5
3669,Dync2i2
3670,Ehd1
3671,Smad5
3672,Emsy
3673,Tdrkh
3674,Selenon
3675,Akt1s1
3676,Pip4p1
3677,Tmem127
3678,Rbm26
3679,Chka
3680,Cryz
3681,1110059E24Rik
3682,Dpy19l1
3683,Inpp5k
3684,Rb1cc1
3685,Lipa
3686,Hdac4
3687,Mrps7
3688,Nceh1
3689,Denn2b
3690,Snrpd2
3691,Chd9
3692,Golt1b
3693,Psmf1
3694,Trappc10
3695,Cln5
3696,Wdr43
3697,Hars
3698,Zmynd8
3699,Tafazzin
3700,Fam102a
3701,Usp1
3702,Rae1
3703,Bicd2
3704,Arid4b
3705,Prkra
3706,Polr1d
3707,Slc17a5
3708,Cdkn1b
3709,Tmem184b
3710,Mrpl27
3711,Nbn
3712,Tlk2
3713,Xrcc5
3714,Commd4
3715,Mynn
3716,Nop10
3717,Frg1
3718,Aga
3719,Arpin
3720,Ahdc1
3721,Cdc73
3722,Vwa8
3723,Entpd5
3724,Snx14
3725,Gtf2h1
3726,Ubxn8
3727,Stau2
3728,Msh6
3729,Pkp4
3730,Bpgm
3731,Czib
3732,Scn1b
3733,Snf8
3734,Ube3c
3735,Rspry1
3736,Mfsd11
3737,Foxn3
3738,Phf14
3739,Hpf1
3740,Ifit3
3741,Coro1c
3742,Mea1
3743,Psmb5
3744,Urod
3745,Cyb5r4
3746,Sft2d2
3747,Pax6
3748,Ramac
3749,Ago1
3750,Irak1
3751,Nsa2
3752,Ddhd1
3753,Bpnt1
3754,Lzic
3755,Hdgfl2
3756,Mrpl49
3757,Tspan17
3758,Cep83
3759,Cstf3
3760,Irak1bp1
3761,Abhd10
3762,Ndufaf4
3763,B230219D22Rik
3764,Dglucy
3765,Zfp445
3766,Oasl2
3767,Rapgef3
3768,Abhd16a
3769,Szrd1
3770,Mtmr3
3771,Med21
3772,Pcyt1a
3773,Auh
3774,Sox12
3775,Drg2
3776,Specc1
3777,Zfp638
3778,Nelfcd
3779,Cnot10
3780,Emg1
3781,Ankrd13a
3782,Klf6
3783,Galnt11
3784,Macir
3785,Tomm34
3786,Klf15
3787,Rnps1
3788,Mcfd2
3789,Mpdz
3790,Clpb
3791,G6pc3
3792,Trrap
3793,Vps11
3794,Atg5
3795,Metap1d
3796,Ngrn
3797,Trp53
3798,Tmbim1
3799,Cadm3
3800,Tpbg
3801,Tceal1
3802,Gskip
3803,Colgalt1
3804,Ostf1
3805,Iars
3806,Snta1
3807,Ndufab1
3808,Rigi
3809,Ak2
3810,Nfasc
3811,Fam216a
3812,Sf3a1
3813,Atp11a
3814,Lactb
3815,Med14
3816,Zfp651
3817,Dennd2a
3818,Pigq
3819,Eml1
3820,Xbp1
3821,Hacd4
3822,Smc5
3823,Magee1
3824,Slc39a13
3825,Myadm
3826,Pip5k1c
3827,Dmac1
3828,Hmgcl
3829,Ubp1
3830,Rrs1
3831,Zdhhc18
3832,Gzf1
3833,Ilkap
3834,Ifit1
3835,Cbr1
3836,Gabpa
3837,Impdh2
3838,Atrn
3839,Gap43
3840,Adsl
3841,Wbp1l
3842,Rars2
3843,Fzd8
3844,Hes6
3845,Arid4a
3846,Slc35a1
3847,Oxa1l
3848,Dnaja3
3849,Sgk1
3850,Guf1
3851,Clasp1
3852,Mpv17l2
3853,Tial1
3854,C330018D20Rik
3855,Sgms1
3856,Fam8a1
3857,Ralb
3858,Arx
3859,R3hdm1
3860,Rad23a
3861,Zfp871
3862,Tln1
3863,Ube2i
3864,Dnajb2
3865,Plod3
3866,Otx1
3867,Nsmce1
3868,Scaf1
3869,Tspan14
3870,Mia3
3871,Hnrnpa0
3872,Ppp4r3a
3873,Dlgap1
3874,Fam204a
3875,Pcif1
3876,Pigc
3877,Trafd1
3878,Gpr146
3879,Ptpmt1
3880,Vgll4
3881,Btd
3882,Mrpl37
3883,Ttc33
3884,Tmem100
3885,Sf3b5
3886,Klf7
3887,Sox11
3888,Srgap2
3889,Mxd4
3890,Xiap
3891,Dusp18
3892,Nkapd1
3893,4933407L21Rik
3894,Cry2
3895,Prdm16
3896,Nsrp1
3897,Synpo
3898,Fchsd2
3899,Ehmt2
3900,2410004P03Rik
3901,Bap1
3902,Nmd3
3903,Tnik
3904,Abr
3905,Fbxo30
3906,Sspn
3907,Gigyf2
3908,Nol11
3909,Baz1b
3910,Sdc3
3911,Smim45
3912,Ahi1
3913,Kcnip3
3914,Tgif1
3915,Zfp451
3916,Gria3
3917,Clpp
3918,Appl1
3919,Kdm5b
3920,Cacng7
3921,Mrpl12
3922,Pggt1b
3923,Uggt1
3924,Zfp386
3925,Myo9b
3926,Klf13
3927,Zfp644
3928,Bud31
3929,Prpf39
3930,Cdk9
3931,Man1a2
3932,Sptlc2
3933,Lonp1
3934,Ipo13
3935,Ptpn2
3936,Atosb
3937,Snrpb2
3938,Trim59
3939,Topors
3940,Akt2
3941,Dnajc2
3942,Phldb1
3943,Fxr2
3944,Yars
3945,Supt16
3946,Pgd
3947,Mrpl10
3948,Gmcl1
3949,Rictor
3950,Jak2
3951,Pomgnt1
3952,Ube2d1
3953,Fxyd1
3954,Gid8
3955,1110038F14Rik
3956,Rufy1
3957,Dtnbp1
3958,Zzz3
3959,Birc6
3960,Ccdc88c
3961,BC005537
3962,Hmg20b
3963,Tubb6
3964,Rbl2
3965,Hat1
3966,Map3k1
3967,Babam1
3968,Ppp4r1
3969,Syne1
3970,Tomm40
3971,Aen
3972,Nfyb
3973,Tmem29
3974,Mcu
3975,Cpsf2
3976,Cntn1
3977,Lbh
3978,Tor1aip1
3979,Gbp3
3980,Usp48
3981,Sec24b
3982,Epn2
3983,Hivep2
3984,Pcdh9
3985,Phb
3986,Cebpb
3987,Nt5c3
3988,Plaat3
3989,Ccdc59
3990,Elp3
3991,Smarcad1
3992,Rab6b
3993,Tmem201
3994,Tulp3
3995,Zfp277
3996,Abhd13
3997,Wdr75
3998,Ifitm2
3999,Tbc1d14
4000,Pef1
4001,Klhl23
4002,Vcpip1
4003,Atp13a3
4004,Smchd1
4005,Hbp1
4006,Gtpbp8
4007,0610009B22Rik
4008,Vps45
4009,Itpkb
4010,St3gal5
4011,Gcn1
4012,Mapk14
4013,Prkaa1
4014,Mrps21
4015,Glb1
4016,Pip4k2a
4017,Lrp11
4018,Dnajb1
4019,Rab3gap1
4020,Dbx2
4021,Cadps
4022,Gtf3c1
4023,Fbxw8
4024,Fbxo28
4025,Tmem245
4026,Slbp
4027,Gsto1
4028,Mvb12b
4029,Zfp131
4030,Pls1
4031,Fkbp2
4032,Csnk2a2
4033,Ppp1r10
4034,Adamts1
4035,Slc35f6
4036,Got2
4037,Noct
4038,Rdh14
4039,Smim20
4040,Stambp
4041,Atpaf2
4042,Ctsc
4043,Acp2
4044,Stxbp4
4045,Map2k5
4046,Trmt6
4047,Csad
4048,Spata2
4049,Slc1a4
4050,Pja1
4051,Nfu1
4052,Ezh2
4053,Tubgcp3
4054,Baz2b
4055,Nr3c1
4056,Dhx30
4057,Nenf
4058,Klf10
4059,Rab23
4060,Dync1li1
4061,Ube2q1
4062,Gabrb3
4063,Etfbkmt
4064,Pgm2
4065,Dnal4
4066,Cd99l2
4067,Vstm4
4068,Stam2
4069,Rrbp1
4070,Phldb2
4071,Rbm3
4072,Dpcd
4073,Garem2
4074,Atl3
4075,Pibf1
4076,Itga1
4077,Arfgef1
4078,Chchd6
4079,Vrk3
4080,Nasp
4081,Ap3s2
4082,5031439G07Rik
4083,Rbck1
4084,Dlg5
4085,Bola3
4086,Scyl1
4087,Retreg1
4088,Mrps18a
4089,Med13
4090,Dcaf13
4091,Arhgef9
4092,Mdp1
4093,Fam171a2
4094,Slc35f1
4095,Cln8
4096,Eif2b1
4097,Tbk1
4098,Sdccag8
4099,Cpne8
4100,Slc25a51
4101,Cdadc1
4102,Slc38a10
4103,Odf2
4104,U2af2
4105,Cdk5rap3
4106,Yipf6
4107,Ralgds
4108,Thoc1
4109,Ube4b
4110,Bbx
4111,Eif4e2
4112,Spats2l
4113,Rangap1
4114,Wapl
4115,Uchl3
4116,Oscp1
4117,Actr8
4118,Gusb
4119,Acad8
4120,Mcm3ap
4121,Rnf168
4122,Chmp7
4123,Gtf2b
4124,Nab1
4125,Mccc2
4126,Shisa9
4127,Coa8
4128,Mthfd2l
4129,Nploc4
4130,Anapc13
4131,Pik3c3
4132,Mars1
4133,Mob3b
4134,Thy1
4135,Phf6
4136,Tacc2
4137,Xylt1
4138,Enoph1
4139,Kat7
4140,Wdr70
4141,R3hdm2
4142,Mettl21a
4143,1700066M21Rik
4144,Agpat1
4145,Iqgap1
4146,Msi1
4147,Faim
4148,Utp6
4149,Ddx6
4150,Wasf2
4151,2510009E07Rik
4152,Ttc9c
4153,Kxd1
4154,Brd4
4155,Mfsd5
4156,Rnf41
4157,Fam133b
4158,Mrpl16
4159,Sh2b1
4160,Ptpn12
4161,Pcdhgc3
4162,Nf1
4163,Kif1c
4164,Nudt3
4165,Mapk8ip3
4166,Cyth3
4167,Bccip
4168,Pcyt2
4169,Gpd1l
4170,Aar2
4171,Tada3
4172,Prune2
4173,Rimoc1
4174,Lcmt1
4175,Cdc26
4176,Trappc12
4177,Plk2
4178,Tob2
4179,Aup1
4180,Furin
4181,Fmc1
4182,Apip
4183,Utp3
4184,Klhl22
4185,Parg
4186,Ppp1r9a
4187,Gfra1
4188,Zfp60
4189,Snx33
4190,Ctnnbl1
4191,Zfand1
4192,Cdk8
4193,Zfp639
4194,Letmd1
4195,Plekhf2
4196,Dnajc11
4197,Ndufb6
4198,Ndc1
4199,Mplkip
4200,Cdc5l
4201,Rnd2
4202,Eif4ebp2
4203,Atg13
4204,Creld2
4205,Tbl2
4206,Ctps2
4207,Tasor
4208,Osgin2
4209,Dtymk
4210,Rpl35
4211,Fzr1
4212,Mllt1
4213,Trim32
4214,Actl6a
4215,Slc35b4
4216,Endod1
4217,Clasrp
4218,Ykt6
4219,Rmnd5a
4220,Lypla2
4221,Necap1
4222,Irf2bpl
4223,Magi2
4224,C9orf72
4225,Arid2
4226,Ap2a2
4227,Gosr1
4228,Aldh1a1
4229,Macrod1
4230,Ubl4a
4231,Wdr36
4232,Mtfr1
4233,Mob2
4234,Tmem126b
4235,Cept1
4236,Pofut2
4237,Gemin7
4238,Rnpep
4239,Fam136a
4240,Use1
4241,Pard3b
4242,Rgs2
4243,Rabl2
4244,Mrpl32
4245,Tmem18
4246,Paxx
4247,Eea1
4248,Katnbl1
4249,Hnrnpf
4250,Dmpk
4251,Zfp606
4252,Krr1
4253,Psmd9
4254,Ccdc181
4255,Zfp367
4256,Crkl
4257,Med19
4258,Uhrf2
4259,Gm973
4260,Wtap
4261,Spast
4262,Cdk7
4263,Ampd2
4264,Traf3
4265,Uqcc1
4266,Pld2
4267,Eid2
4268,Nlgn1
4269,Prr14
4270,Ttc1
4271,Prpf38a
4272,Ttc28
4273,Nsdhl
4274,Aida
4275,Mmd
4276,Nat14
4277,Exosc10
4278,Kansl1
4279,Slc39a11
4280,Copz2
4281,Vegfb
4282,Manbal
4283,Atad3a
4284,Vps37c
4285,Soga1
4286,Man2b2
4287,Cgrrf1
4288,Eif3d
4289,Srcin1
4290,Cmtm3
4291,Ercc5
4292,Kat6b
4293,Thoc7
4294,Slc6a15
4295,C1qtnf6
4296,Wdr11
4297,Mtif2
4298,Clk3
4299,Mafg
4300,Fam20b
4301,Mpst
4302,Slf2
4303,Nabp2
4304,Tmem208
4305,Pierce1
4306,Enkur
4307,Ccdc85b
4308,Mis12
4309,Arid1a
4310,Trip11
4311,Prpf31
4312,Ifngr2
4313,Zfp655
4314,Dck
4315,Brd9
4316,Slc12a4
4317,Pdk4
4318,Nrip1
4319,Snrpd1
4320,Tppp3
4321,Lsm6
4322,Pik3c2a
4323,Tfe3
4324,Hnrnph3
4325,Cabin1
4326,Rest
4327,Surf1
4328,Cyp46a1
4329,Rpf1
4330,Abhd5
4331,2310061I04Rik
4332,Srp68
4333,Tlk1
4334,Mrpl40
4335,Hagh
4336,Usp39
4337,Taok2
4338,Bax
4339,Zfp318
4340,Hopx
4341,N4bp1
4342,Cdk13
4343,Bambi
4344,Rabl6
4345,Fam131a
4346,Lhfpl3
4347,Amz2
4348,Zbtb38
4349,Katnip
4350,Kat2b
4351,Dcun1d1
4352,Zfp219
4353,Lage3
4354,Tpgs1
4355,Parp1
4356,Aip
4357,Dhx9
4358,Btbd10
4359,Kctd20
4360,Nol12
4361,Nufip2
4362,Arl6ip6
4363,Sh3bp4
4364,Terf2
4365,Mxra7
4366,Timm22
4367,Chgb
4368,Nuak2
4369,Gipc1
4370,Rnf216
4371,Tbc1d23
4372,Cxcl10
4373,Tmem115
4374,Vps52
4375,Wdr7
4376,Rad17
4377,Eef1akmt2
4378,Snx24
4379,Med17
4380,Wdr20
4381,Zhx2
4382,Mindy1
4383,Bptf
4384,Supt20
4385,Mrps5
4386,Stx8
4387,Zscan21
4388,Snx9
4389,Nup98
4390,Rgl2
4391,Asb3
4392,Lrrc41
4393,Vps53
4394,Hdgfl3
4395,Pgrmc2
4396,Fam124a
4397,Capg
4398,Man2a2
4399,Mmp16
4400,Srrt
4401,Cnmd
4402,Asb13
4403,Fbxl17
4404,Osgep
4405,Phkg1
4406,Asxl2
4407,Creb1
4408,Acss2
4409,Pfkfb3
4410,Tpcn1
4411,Specc1l
4412,Ltn1
4413,Stim2
4414,Fam104a
4415,Pccb
4416,Wwp1
4417,Alcam
4418,AW209491
4419,Dph3
4420,Slc9a6
4421,Trim8
4422,Eri1
4423,Usp46
4424,Nifk
4425,Ikbkb
4426,Reps1
4427,Pdzrn3
4428,Eed
4429,Slc37a3
4430,Ankib1
4431,Ripor1
4432,Lrp4
4433,Zfp410
4434,Vasp
4435,Vps39
4436,Sdhaf4
4437,Pex6
4438,Cmpk2
4439,Il18
4440,Arid1b
4441,Slc22a4
4442,Spata7
4443,Ap1g1
4444,Fam91a1
4445,Cebpg
4446,Tmem175
4447,Me3
4448,Nudt21
4449,Mrps24
4450,Arih2
4451,Slc25a36
4452,Morn4
4453,Inhbb
4454,Tsc22d2
4455,Mccc1
4456,Tbccd1
4457,Ppp1r11
4458,Mrpl22
4459,Ube2q2
4460,Vegfa
4461,Inf2
4462,Fam76b
4463,Aimp1
4464,Epn1
4465,Herc1
4466,Limd1
4467,Nvl
4468,Naa40
4469,Usp7
4470,Ankmy2
4471,Arhgef18
4472,Tdp2
4473,Lnpep
4474,D030056L22Rik
4475,Armc2
4476,Pgp
4477,Adamtsl3
4478,Uap1
4479,Lrrfip2
4480,Cbr3
4481,Nes
4482,Becn1
4483,Cyp4v3
4484,Cox19
4485,Bloc1s5
4486,Ccl2
4487,Naa30
4488,Ccnt2
4489,Golga1
4490,Cyp20a1
4491,Odf2l
4492,Limk2
4493,Zmym4
4494,Mcts1
4495,Mrps35
4496,Nbeal1
4497,Ubn2
4498,Ints3
4499,Zfp281
4500,Phf23
4501,Vopp1
4502,Ctdspl2
4503,Sos1
4504,Dhrs7b
4505,Ccdc74a
4506,Pitpnm1
4507,Dpm2
4508,Cd2bp2
4509,Fam120b
4510,Zfp326
4511,Ift46
4512,Cab39l
4513,Coq5
4514,Ttc13
4515,Nsd2
4516,Far1
4517,Rbm45
4518,Nit2
4519,Cenpc1
4520,Safb2
4521,Snrnp48
4522,Tango2
4523,Tmem94
4524,Lamtor2
4525,Ankrd29
4526,Etv5
4527,Adrb1
4528,Zcchc14
4529,Plbd2
4530,Mrpl52
4531,Tmem230
4532,Foxo1
4533,Ap4s1
4534,Mrps31
4535,AU040320
4536,Casp12
4537,Idua
4538,2810004N23Rik
4539,Psmg2
4540,Prkab1
4541,Kpna6
4542,Btbd7
4543,Wnt5b
4544,Knop1
4545,Socs3
4546,Ctsh
4547,Fam184a
4548,Tmem80
4549,Tmem68
4550,Cttnbp2nl
4551,Inpp5b
4552,Taf2
4553,Ppm1d
4554,Trappc9
4555,Prmt1
4556,Scaf4
4557,Tmem248
4558,Hspbp1
4559,Ptp4a3
4560,Mrps2
4561,Camsap2
4562,Coq7
4563,Zfp365
4564,Chid1
4565,Msl3
4566,Azin2
4567,Tmem205
4568,Nudcd3
4569,Nedd1
4570,Cdkn2c
4571,Retsat
4572,Ankrd50
4573,Hsf2
4574,Ric8a
4575,Tmem41b
4576,Ndufs5
4577,Gatb
4578,Ogfrl1
4579,Hmg20a
4580,Otud5
4581,Pank1
4582,Bivm
4583,Ino80c
4584,Hcfc2
4585,Chfr
4586,Irf2bp1
4587,Cog4
4588,Pdlim7
4589,Mcm6
4590,Phospho2
4591,Ssna1
4592,Ranbp3
4593,Zfp330
4594,Zfp36
4595,Ano6
4596,Sgip1
4597,Efcab2
4598,Myef2
4599,Nt5c
4600,Commd10
4601,Slc30a7
4602,Pou6f1
4603,Kdm3b
4604,Ccdc186
4605,Emc1
4606,Hax1
4607,Sap30bp
4608,Tmtc3
4609,Sec16a
4610,Emp1
4611,Fus
4612,Spg7
4613,Pigx
4614,Adrm1
4615,Washc3
4616,Csnk1e
4617,Zpr1
4618,Mcrs1
4619,Rbms1
4620,Mpv17l
4621,Pfkl
4622,Ednra
4623,Nubp2
4624,Snrpn
4625,Hyal2
4626,Sipa1l1
4627,Triobp
4628,Pipox
4629,Trp53bp2
4630,Ago3
4631,Fbxo9
4632,Fads3
4633,Kdelr3
4634,Tns1
4635,Lsm1
4636,Phf10
4637,Apmap
4638,Coasy
4639,Akr7a5
4640,Yif1a
4641,Get4
4642,Chchd10
4643,Osmr
4644,Dpy30
4645,Dock4
4646,Nr1d1
4647,Psmd10
4648,Agap3
4649,Ociad2
4650,Trmt10c
4651,Txlna
4652,Nagk
4653,Ttc5
4654,Prkar2b
4655,Fat3
4656,Rab5if
4657,Resf1
4658,Eef1e1
4659,Mrpl24
4660,Rnf213
4661,Mecp2
4662,Med31
4663,Lrif1
4664,Rlf
4665,Rbp1
4666,Arhgap32
4667,Sarnp
4668,Zfp521
4669,Cdk19
4670,Atp8a1
4671,Dkc1
4672,Kdm3a
4673,Acyp2
4674,Lats2
4675,Grk2
4676,Jmjd1c
4677,Mfap3
4678,Rassf4
4679,Nolc1
4680,Taf11
4681,Fam50a
4682,Mrpl11
4683,Cep43
4684,Oplah
4685,B9d1
4686,Armc8
4687,Mink1
4688,2410004B18Rik
4689,Fbxo4
4690,Usp21
4691,Phf21a
4692,Klhl25
4693,Fam114a2
4694,Dact3
4695,Garem1
4696,Ubxn2a
4697,Plcb3
4698,Rc3h1
4699,Stmn1
4700,Ccnq
4701,Ankle2
4702,Sil1
4703,Cc2d2a
4704,Bcas3
4705,Zc3h7b
4706,Ddx56
4707,Ulk2
4708,Arhgap42
4709,Srpk1
4710,Rab30
4711,Utp18
4712,Jpt2
4713,Aak1
4714,Fam161b
4715,Pdgfra
4716,Hmox2
4717,Crb2
4718,Dapp1
4719,Pla2g12a
4720,St7l
4721,Gtf2f2
4722,Kdsr
4723,Coq2
4724,2210016F16Rik
4725,Dnajb13
4726,Usp10
4727,Sun1
4728,Psenen
4729,Aftph
4730,Arhgef2
4731,Dtx1
4732,Tipin
4733,Fjx1
4734,Ate1
4735,Gnai1
4736,Ctnnbip1
4737,Pdcd5
4738,Bcar3
4739,Syne2
4740,Trib2
4741,Agpat4
4742,Slc19a2
4743,Nfx1
4744,Cep350
4745,Herc4
4746,Ep300
4747,Ehbp1
4748,Bad
4749,Dnajc24
4750,Dnajc19
4751,Rev3l
4752,Zyx
4753,Tbce
4754,Vezt
4755,Decr2
4756,Lyrm2
4757,Pdlim2
4758,Rtp4
4759,Xrcc6
4760,Sord
4761,Optn
4762,Ankrd45
4763,Golm1
4764,Erh
4765,Zfp385a
4766,Raf1
4767,Med8
4768,Xpo6
4769,Arl2
4770,Amd1
4771,Ciapin1
