,high_ast
659,Ubqln1
660,Phlda3
661,Psmd2
662,Sri
663,Cers2
664,Ptov1
665,Dctn2
666,Rpn1
667,Acbd5
668,Ergic3
669,Zfr
670,C3
671,Tspan12
672,Eif3e
673,Tle5
674,Cdkn1a
675,Mboat2
676,Rpl7a
677,Eid1
678,Klhl9
679,Psip1
680,Scrn1
681,Tmem9b
682,Notch1
683,Neo1
684,Ktn1
685,Abat
686,Enpp5
687,Sypl
688,Mbnl2
689,Plxnb2
690,Fbxw11
691,Yaf2
692,Cdk4
693,Sesn1
694,Mob4
695,Sorbs2
696,Sfr1
697,Copb1
698,Rpl15
699,Atp6v1b2
700,Cab39
701,Stx12
702,Rpl41
703,Map4k4
704,Pafah1b2
705,S100a16
706,Ubxn4
707,Rpl23
708,Npepps
709,Rpl26
710,Lrp1
711,Nap1l1
712,Dst
713,Top1
714,Ctnnd2
715,Taldo1
716,Hadha
717,Copa
718,Tcp1
719,H2az2
720,Mdm2
721,Nono
722,Twf1
723,Tprgl
724,Vamp3
725,Micos10
726,Cldnd1
727,Rps27l
728,Foxj1
729,Clic4
730,Fyn
731,Sucla2
732,Hadh
733,Arhgef12
734,Eif3h
735,Txnl1
736,Cul3
737,Hspd1
738,Snapin
739,Dnajc3
740,6330403K07Rik
741,Vmp1
742,Scamp1
743,Ywhaq
744,Celf2
745,Srsf1
746,Cox7a2l
747,Scarb2
748,Pafah1b1
749,Rnf11
750,Cp
751,Cdk17
752,Naca
753,Eef1b2
754,Rps26
755,Ddx1
756,Ndufa10
757,Rpl13
758,Tm4sf1
759,Phyh
760,Hsdl2
761,Zc3h14
762,Strn3
763,Glg1
764,Ccar1
765,Pten
766,Uqcrh
767,Ndufa13
768,Ube2h
769,Cops2
770,Pmpcb
771,Pid1
772,Palld
773,Tspan15
774,Slc38a2
775,Tns3
776,Chchd2
777,Myo6
778,Eif3l
779,Slc22a17
780,Acta2
781,Brk1
782,Ranbp9
783,Cox7a2
784,1110004F10Rik
785,Nras
786,Rpl10
787,Sf3b2
788,Slc25a39
789,Cmpk1
790,Kifbp
791,Ran
792,Gpam
793,Chp1
794,Dynlrb1
795,Ddah2
796,Sdhd
797,Fnbp1
798,Arf5
799,Glrx3
800,Dclk1
801,Park7
802,Rnf14
803,Hnrnpm
804,Srsf3
805,Csf1
806,Lrpap1
807,Ift74
808,Abhd17b
809,Shroom3
810,Ech1
811,Copb2
812,Shisa4
813,Gpt2
814,Ncor1
815,Capns1
816,Zfp24
817,Rnf187
818,Tspan6
819,Psmc1
820,Ppp2r5c
821,Xpo1
822,Idh1
823,Prpf8
824,Rbm25
825,Acadl
826,Cul1
827,Srp14
828,Ak1
829,Hmgn2
830,Ankrd46
831,Eef1g
832,Eif3a
833,Msmo1
834,Txnip
835,Fbxo2
836,Ptprf
837,Npdc1
838,Ctnnb1
839,Fnta
840,Abi1
841,Nebl
842,Ddx17
843,Naa50
844,Clic1
845,Fzd3
846,Rplp2
847,Rps15
848,Eif4a1
849,Cyc1
850,G3bp2
851,Rpl11
852,Rps23
853,Eif2s2
854,Uba3
855,Idh3b
856,Osbpl1a
857,Ntsr2
858,Ppp6c
859,Api5
860,Rer1
861,Pcdh10
862,Rrp1
863,Fkbp8
864,Smim10l1
865,Ndfip2
866,Actr1a
867,Slc30a9
868,Psmd7
869,Pip4p2
870,Spop
871,Gclc
872,Copz1
873,Mzt1
874,Hnrnph1
875,Adam10
876,Rab21
877,Dmd
878,Nde1
879,Cdc37l1
880,Srgap3
881,Tmx1
882,Plat
883,Rps18
884,Meis2
885,Chd4
886,Eif4b
887,Hp1bp3
888,Bcap31
889,H3f3a
890,Slc25a11
891,Mtfr1l
892,Rpl21
893,Psmd5
894,Mtch1
895,Set
896,Rab11a
897,Acat1
898,Stard7
899,Pak2
900,Spp1
901,Itgb8
902,Lmbrd1
903,Ndufv1
904,Ralgps2
905,Exoc4
906,Timp3
907,Tmem184c
908,Nap1l4
909,Hint1
910,Hmgb1
911,Mid1ip1
912,Atp6ap1
913,Maged2
914,Rpsa
915,Gpx8
916,Dek
917,Cfap418
918,Srsf6
919,Trpm7
920,Fkbp9
921,Psmd6
922,Lcn2
923,Lap3
924,Ndrg3
925,Rnf10
926,Marchf5
927,Rab5c
928,Fos
